name,alt,Hf cal/g,Cvi,Ei,(1/M)i,C,H,N,O,Ext
Acetone,,,0.5104,-2842.5,0.10331,3,6,,1,
Ammonium dichromate,,-1688,0.2700,610,0.0200,,8,2,7,103.9922
Ammonium nitrate,AN,-1090,0.4424,405.1,0.03748,,4,2,3,
Ammonium perchlorate,AP,-602,0.3167,800.22,0.2128,,4,1,4,35.4515
Ammonium picrate,Dunnite,,0.3213,-117,0.04470,6,6,4,7,
Butyl carbitol adipate,,,0.4923,-2629,0.09899,18,34,,6,
Butyl carbitol formal,,,0.5229,-2652,0.10403,8,18,,3,
Carbon black,C,,0.1349,-3187.5,0.08326,1,,,,
Cellulose Acetate,,-1183,0.3953,-1971,0.06929,11.37,15.37,,7.69,
Octogen,HMX,61,0.3414,575,0.0405,4,8,8,8,
Hexogen,RDX,66,0.3416,615,0.0405,3,6,6,6,
Diallyl maleate,,,0.3872,-1957,0.08155,10,12,,4,
Diamyl phthalate,,,0.4408,-2809.0,0.10130,18,26,,4,
Dibutyl phthalate,DBP,-733,0.4258,-2656,0.09701,16,22,,4,
Dibutyl sebacate,DBS,,0.5108,-3159,0.1113,18,34,,4,
Di-(2-ethylhexyl) azelate,DOZ,,0.5272,-2272,0.11876,25,48,,4,
Diethyl phthalate,DEP,,0.3866,-2348.7,0.08550,12,14,,4,
Di(ethylene) glycol dinitrate,DEGDN,,0.3857,232.4,0.04589,4,8,2,7,
Dinitrophenoxyethanol,,,0.3369,-633.4,0.05698,8,8,2,6,
Dinitrotoluene,DNT,,0.3213,-668.4,0.06042,7,6,2,4,
Dioctyl phthalate,,,0.4650,-3020,0.11026,24,38,,4,
Diphenylamine,DPA,,0.3471,-3010,0.10637,12,11,1,,
Diphenylguanidine,DPG,,0.3476,-2626,0.09941,13,13,3,,
Ether,,-1014,0.5970,-2958,0.12143,4,10,,1,
Ethyl alcohol,Ethanol,-1440,0.6083,-2785,0.10854,2,6,,1,
Ethyl centralite,Centralite,-127,0.3905,-2766,0.10434,17,20,2,1,
Graphite,,0,0.1349,-3234,0.08326,1,,,,
GR-I rubber,Butyl Rubber,-376,0.5779,-4006,0.14235,4,8,,,
Lead stearate,M&V,,0.3976,-2440,0.09180,36,70,,4,207.2
Trimethylolethane (Metriol) trinitrate,TMETN (MTN),-415,,,,5,9,3,9,
N-Methyl-p-nitroaniline,,,0.35808,-1625,0.07887,7,8,2,2,
Mineral jelly,,,0.5811,-4175.1,0.1426,20,42,,,
2-Nitrodiphenylamine,NDPA,,0.3226,-2201,0.08411,12,10,2,2,
Nitroglycerin,NG,-400,0.3438,951.9,0.03082,3,5,3,9,
Nitroguanidine,NGu,-209,0.3710,-68.6,0.04808,1,4,4,2,
Pentaerythritol tetranitrate,PETN,-401,0.3424,727,0.0348,5,8,4,12,
Petrin,,-513,0.3703,374,0.04109,5,9,3,10,
Picrite,,,0.3711,-48.9,0.04805,1,4,4,2,
Polyisobutene,PIB,,0.5798,-3981,0.14259,4,8,,,
Poly (methyl acrylate),PMA,-954,0.4231,-2111,0.08140,4,6,,2,
Polystyrene,PS,106,0.3739,-3309,0.11523,8,8,,,
Poly (vinyl chloride),PVC,,0.2080,-1851,0.05600,2,3,,,35.4515
Potassium nitrate,KNO3,-1167,0.2158,24.9,0.00989,,,1,3,39.0983
Potassium perchlorate,KCLO4,-742,0.2000,800,0.00722,,,,4,74.5513
Potassium sulfate,K2SO4,-1966,0.1250,-800,0.00574,,,,4,110.2616
Sucrose octaacetate,,,0.3941,-1825,0.06922,28,38,,19,
Triacetin,,-1334,0.4191,-1973,0.07333,9,14,,6,
Triethylene glycol dinitrate,TEGDN,-645,0.40430,-89.24,0.05412,6,12,2,8,
Trinitrotoluene,TNT,79,0.3037,-110,0.04843,7,5,3,6,
