type,description,adiabatic index,density kg/m^3,force J/kg,covolume m^3/kg,pressure exponent,burnrate coefficient m/s/Pa^-n,flame temp K
M1,"Single Base,203mm/8'' Howitzer; Charge for Zone 1-5,M2(A1) on M115; M47 on M55 SPH; M2A2 on M110 SPH,*85.00% Nitrocellulose (13.15%N), 10.00% Dinitrotloluene,  5.00% Dibutylphthalate,  1.00% Diphenylamine",1.2593,1569,911700,1.104e-3,0.951,1.078e-9,2417
M2,"Double Base,203mm/8'' Howitzer; Charge for Zone 5-7,M2(A1) on M115; M47 on M55 SPH; M2A2 on M110 SPH,*77.45% Nitrocellulose (13.25%N),*19.50% Nitroglycerin,  1.40% Barium Nitrate,  0.75% Potassium Nitrate,  0.60% Ethyl Centralite,  0.30% Graphite",1.2238,1652,1076000,1.008e-3,0.933,3.540e-9,3319
M5,"Double Base,Unknown,Unknown,*81.95% Nitrocellulose (13.25%N),*15.00% Nitroglycerin,  1.40% Barium Nitrate,  0.75% Potassium Nitrate,  0.60% Ethyl Centralite,  0.30% Graphite",1.2238,1650,1061000,9.942e-4,0.948,2.504e-9,3245
M6,"Single Base,155mm Howitzer; Charge for Zone 7,M185 on M109(A1-3) SPH; M199 gun on M198,*87.00% Nitrocellulose (13.15%N), 10.00% Dinitrotoluene,  3.00% Dibutylphthalate,  1.00% Diphenylamine",1.2543,1581,947500,1.081e-3,0.949,1.272e-9,2570
M8,"Double Base,60mm and 81mm Mortar,M2; M19; M1; M29;,*52.15% Nitrocellulose (13.25%N),*43.00% Nitroglycerin,  3.00% Diethylphthalate,  1.25% Potassium Nitrate,  0.60% Ethyl Centralite",1.2148,1620,1142000,9.621e-4,0.874,1.346e-8,3695
M10,"Single Base,Recoiless Rifle,M40A1(C),*98.00% Nitrocellulose (13.15%N),  1.00% Potassium Sulfate,  1.00% Diphenylamine, <0.10% Graphite",1.2342,1670,1013000,1.003e-3,0.921,2.562e-9,3000
M17,"Triple Base,76mm Gun,M32 on M41 tank,*54.70% Nitroguanidine,*22.00% Nitrocellulose (13.15%N),*21.50% Nitroglycerin,  1.50% Ethyl Centralite,  0.30% Cryolite,  0.10% Graphite",1.2402,1669,1088000,1.066e-3,0.836,1.477e-8,3017
M30,"Triple Base,105mm Gun,M68 on M47/M48/M60 tank/M1128 MGS,*47.70% Nitroguanidine,*28.00% Nitrocellulose (12.60%N),*22.50% Nitroglycerin,  1.50% Ethyl Centralite,  0.10% Graphite,  0.30% Cryolite",1.2385,1660,1088000,1.057e-3,0.7803,4.567e-8,3040
M31,"Triple Base,155mm Howitzer; Charge for Zone 3-6,as M232 in MACS,*54.70% Nitroguanidine,*20.00% Nitrocellulose (12.60%N),*19.00% Nitroglycerin,  4.50% Dibutylphthalate,  1.50% Ethyl Centralite,  0.30% Cryolite",1.2527,1640,998300,1.115e-3,0.788,2.545e-8,2599
JA2,"Double Base,120mm Gun,Rh-120 L/44(55) for Leopard 2/M1A1(2) tank, *59.50% Nitrocellulose (13.10%N),*14.90% Nitroglycerin,*24.80% Diethylene Glycol Dinitrate,  0.05% Graphite,  0.05% Magnesium Oxide,  0.70% Akardite II",1.2248,1600,1153000,0.980e-3,0.9412,3.107e-9,3394
